iter	Passed	Remaining
0	50	50278
1	53	26626
2	56	18725
3	59	14769
4	62	12360
5	64	10766
6	67	9625
7	70	8767
8	73	8106
9	76	7573
10	79	7142
11	82	6782
12	85	6476
13	88	6210
14	91	5989
15	94	5789
16	97	5617
17	99	5455
18	102	5315
19	105	5186
20	108	5072
21	111	4966
22	114	4872
23	117	4782
24	120	4704
25	123	4627
26	126	4556
27	129	4490
28	132	4430
29	135	4371
30	136	4270
31	139	4224
32	142	4178
33	145	4135
34	148	4091
35	151	4054
36	154	4018
37	157	3983
38	160	3949
39	163	3918
40	166	3887
41	169	3858
42	172	3828
43	175	3805
44	178	3779
45	181	3754
46	183	3730
47	187	3709
48	190	3687
49	193	3668
50	196	3647
51	199	3629
52	201	3608
53	204	3589
54	207	3570
55	210	3552
56	213	3535
57	216	3517
58	219	3499
59	222	3483
60	225	3468
61	228	3452
62	231	3438
63	234	3425
64	237	3414
65	240	3399
66	243	3385
67	246	3371
68	249	3360
69	251	3346
70	254	3335
71	257	3322
72	260	3311
73	263	3300
74	266	3289
75	269	3278
76	272	3268
77	275	3256
78	278	3245
79	281	3234
80	284	3225
81	287	3215
82	290	3206
83	293	3196
84	296	3187
85	298	3177
86	301	3168
87	304	3159
88	307	3150
89	310	3140
90	313	3131
91	316	3122
92	318	3103
93	321	3096
94	324	3088
95	327	3079
96	329	3071
97	332	3063
98	335	3055
99	338	3048
100	340	3027
101	342	3019
102	345	3013
103	348	3005
104	351	2998
105	354	2991
106	357	2984
107	360	2976
108	363	2970
109	366	2963
110	369	2956
111	372	2950
112	374	2943
113	377	2936
114	380	2929
115	383	2923
116	386	2917
117	389	2910
118	392	2904
119	395	2898
120	398	2892
121	401	2886
122	403	2880
123	406	2874
124	409	2868
125	412	2863
126	415	2858
127	418	2853
128	421	2847
129	424	2841
130	427	2836
131	430	2829
132	433	2823
133	436	2818
134	438	2812
135	441	2806
136	444	2801
137	447	2796
138	450	2791
139	453	2785
140	456	2780
141	459	2774
142	462	2768
143	464	2763
144	467	2759
145	470	2754
146	473	2748
147	476	2743
148	479	2738
149	482	2733
150	485	2728
151	488	2723
152	491	2718
153	494	2713
154	496	2708
155	499	2703
156	502	2699
157	505	2693
158	508	2689
159	511	2684
160	514	2680
161	517	2676
162	520	2671
163	523	2666
164	526	2662
165	528	2657
166	531	2652
167	534	2647
168	537	2642
169	540	2637
170	542	2632
171	545	2627
172	548	2623
173	551	2619
174	554	2615
175	557	2610
176	560	2607
177	563	2603
178	566	2599
179	569	2594
180	572	2589
181	575	2585
182	578	2581
183	581	2576
184	583	2572
185	586	2567
186	589	2563
187	592	2558
188	595	2554
189	598	2549
190	600	2545
191	603	2541
192	606	2536
193	609	2533
194	612	2528
195	615	2524
196	618	2520
197	621	2516
198	624	2511
199	626	2507
200	629	2503
201	632	2499
202	635	2495
203	638	2491
204	641	2487
205	644	2482
206	647	2478
207	649	2474
208	652	2471
209	655	2466
210	658	2463
211	661	2459
212	664	2455
213	667	2451
214	670	2448
215	673	2444
216	676	2440
217	679	2436
218	682	2432
219	684	2428
220	687	2424
221	690	2420
222	694	2418
223	697	2415
224	700	2412
225	703	2408
226	706	2405
227	709	2401
228	712	2397
229	714	2393
230	717	2389
231	720	2385
232	723	2382
233	726	2377
234	729	2374
235	732	2370
236	735	2366
237	737	2362
238	740	2358
239	741	2349
240	744	2345
241	747	2342
242	750	2338
243	753	2335
244	756	2331
245	759	2328
246	762	2324
247	765	2320
248	768	2317
249	771	2313
250	774	2310
251	777	2307
252	780	2303
253	783	2300
254	786	2296
255	789	2293
256	792	2290
257	795	2287
258	798	2284
259	801	2280
260	804	2277
261	807	2274
262	810	2271
263	813	2267
264	816	2264
265	819	2261
266	822	2258
267	825	2254
268	828	2251
269	831	2247
270	834	2244
271	837	2240
272	840	2237
273	843	2234
274	846	2231
275	849	2227
276	852	2224
277	855	2221
278	858	2217
279	860	2213
280	863	2210
281	866	2206
282	869	2203
283	872	2199
284	875	2196
285	878	2192
286	881	2189
287	884	2186
288	887	2183
289	890	2179
290	893	2176
291	896	2173
